version,date,content
Slack 26.01.30,21 January 2026,"if your workspace did not allow messages to be copied, we were also erroneously preventing you from viewing file attachments. here's a message we're not just copying from previous bug fixes: we're sincerely sorry for the trouble."
Slack 26.01.20,14 January 2026,"we’ve been working hard behind the scenes to make sure that everything is polished, well-oiled and running as it should be. if you notice anything to the contrary, as always, let us know at feedback@slack.com!"
Slack 26.01.10,7 January 2026,"we tweaked some things too small to notice or too difficult to explain. we’ll return you to your regular, more interesting types of release next time (we hope)."
Slack 25.12.20,10 December 2025,"this will be our final release for 2025, which has us reflecting on all the ways we've grown this past year. whether you favor radical reinvention or a slow and steady bloom, we hope these past 12 months have been nourishing and expansive. as the beatles put it, ""there's nowhere you can be that isn't where you're meant to be."" we're very glad you're here with us."
Slack 25.12.10,3 December 2025,"the /feedback command was broken, sending the bug report meant for slack into whichever channel you happened to be viewing. it's now been fixed. /gif celebrate.we checked out some inconsistent behavior around checkboxes within the app. having triple-checked the fix, we’re now checking this bug off the list.certain photo uploads were not allowing you to zoom in to the picture after it was sent. what is this, an app for ants? feel free to take a closer look in order to make sure everything is really, really, ridiculously good-looking."
Slack 25.11.30,19 November 2025,"we tidied the shelves, cleaned the windows and ran a white-gloved finger over every flat surface. just a little routine maintenance to ensure that everything is shipshape. full steam ahead!"
Slack 25.11.21,13 November 2025,we’ve tinkered with the internal workings and polished some rough edges. the app is now better than it was.
Slack 25.11.20,12 November 2025,"form fields were not accepting numbers preceded by the ""#"" sign (#1, #2, etc.). if you recall a time when this was a number sign and not a hashtag, this one's for you. #fixedslash commands with very long dialogs could not be scrolled, preventing users from selecting any options below. they say the pen is mightier than the sword, and that long blocks of text are more powerful than interactable menu options. they say one of those things. we say this is fixed."
Slack 25.11.11,6 November 2025,don’t mind us – just making a few small adjustments to keep the app in tip-top shape. more to come soon. cheerio!
Slack 25.11.10,5 November 2025,everything is an itty-bitty bit better than it was before. trust us.
Slack 25.10.50,29 October 2025,"""double, double toil and trouble / vanishing emoji bubble / found a bug and dumped the cache / this update will fix the crash."" (if you were running into a crash when selecting an emoji reaction, updating the app should banish this spooky behavior. happy halloween!)"
Slack 25.10.40,22 October 2025,don’t mind us – just making a few small adjustments to keep the app in tip-top shape. more to come soon. cheerio!
Slack 25.10.30,15 October 2025,"all bugs that were fixed in this release were too small for the eye to see or too fiddly for human words to describe. nevertheless, work was done, things tinkered with and the app became subtly better."
Slack 25.10.20,9 October 2025,"a little reminder as you go about your day: the world is a more unique place simply because you’re part of it, and you’ve affected others in ways that you can’t imagine. oh, and no big changes to the app this time. happy messaging!"
Slack 25.10.10,1 October 2025,don’t mind us – just making a few small adjustments to keep the app in tip-top shape. more to come soon. cheerio!
Slack 25.09.40,24 September 2025,"hard work is happening this week, but nothing that we can easily describe. it’s like a duck swimming on a pond. under the water, the duck is paddling furiously, but on top, all that can be seen is the gentle gliding of a bird on water. this week, slack is the duck."
Slack 25.09.30,17 September 2025,"we’ve sanded down some rough patches in the app so as to avoid any digital splinters. did you know that ‘digital splinters’ were a thing? they are now, but they aren’t anything you’ll need to worry about."
Slack 25.09.20,10 September 2025,"incoming huddles notifications were not appearing when devices were locked, which is a little like a doorbell only working when the front door is already open. ding-dong. who's there? it's a bug fix.when creating a new message, it wasn't possible to add multiple people to a dm (despite the checkboxes tantalizingly suggesting it was). we apologize for the mixed messages. bug fixed? check."
Slack 25.09.10,3 September 2025,"we’ve been working hard behind the scenes to make sure that everything is polished, well-oiled and running as it should be. if you notice anything to the contrary, as always, let us know at feedback@slack.com!"
Slack 25.08.40,27 August 2025,"on android tablets, huddle videos were sometimes appearing upside down. a fresh perspective can be quite illuminating when you're stuck on a problem; it's less helpful when you just want to see someone's face. we've turned the tables on this bug (and turned your video back to its proper orientation)."
Slack 25.08.30,20 August 2025,"our url auto-detector was a bit overzealous, adding link formatting back to text after you removed it. there's a line between autocorrect and auto-incorrect, and it looks like we found it."
Slack 25.08.21,14 August 2025,security guidancethis release includes security improvements. updating is recommended.
Slack 25.08.20,13 August 2025,we’ve tuned the engine and given the interior a thorough clean. everything is now running smoothly again.
Slack 25.08.10,6 August 2025,"we tidied the shelves, cleaned the windows and ran a white-gloved finger over every flat surface. just a little routine maintenance to ensure that everything is shipshape. full steam ahead!"
Slack 25.07.50,1 August 2025,"new display name? we love it. unfortunately, the app wasn't putting two and two together, leaving folks empty-handed when trying to @mention someone whose display name didn't match their full name. however you want to be addressed, we're here for it, and now the app is as well."
Slack 25.07.40,24 July 2025,"a gray overlay was frequently covering the slack ui, mirroring the ""no-sky july"" some of our team in san francisco experience when a marine layer forms during the summer months. it's a fascinating phenomenon that's not at all germane to the app, nor these release notes. enjoy clear slack skies once again with this update."
Slack 25.07.30,17 July 2025,"the android ""back"" button was behaving inconsistently, sometimes requiring three separate taps to move through a single screen. after extensive testing, our experts have concluded this was officially “two too many.” with this update, we seek to go back to a time before such a bug ever existed."
Slack 25.07.20,9 July 2025,"this week we give you minor improvements too small to mention, but did you know that you can read through our past release notes any time you like? discover a feature! see how far we’ve come! have yourself a sensible chuckle! they’re all available over at https://slack.com/release-notes."
Slack 25.07.10,3 July 2025,"this round’s changes may be too small to notice outright, but we’re hoping that there’s a certain ineffable quality that comes through in the update. don’t you just feel better being up to date? we definitely do."
Slack 25.06.40,25 June 2025,"case-conscious users noticed that two versions of the same email address could be present when adding a workspace. this duplicative deception would occur if you already had an account, then accepted an invite where that same email was written in all caps. this bug has been fixed. hang on, let's try that again: this bug has been fixed."
Slack 25.06.30,19 June 2025,the app is objectively better today than it was yesterday. this is a scientifically verifiable fact that cannot be challenged or undermined. we appreciate you staying up to date!
Slack 25.06.20,11 June 2025,"nothing major to report this week. nothing minor to report either, as it turns out. work is still happening, mind you – it’s just more the sort that happens behind the curtain in between scenes at a play. we’re quietly setting the stage for what’s to come."
Slack 25.06.10,4 June 2025,"specific @mentions (like @channel and @here) were not appearing in the autocomplete menu after tapping the compose button. if you lost your composure over this, you'd be forgiven, but we've channeled our efforts and the fix is here.deep links to specific tabs within the app were not working, behaving more like signs pointing to a dead end. these links are now 100% more ... linky? they work now."
Slack 25.05.40,28 May 2025,"no big fixes to bring your attention to this week, but rest assured, there will be more in the future. not that introducing bugs is our aim, of course. but missteps, adjustments, errors and corrections – these are the rhythms of life and the price of growth. we hope that you’re enjoying the ride, no matter where you happen to find yourself at present."
Slack 25.05.30,21 May 2025,"like a runner steadily improving their split times, this update is the sort that’s less showy but no less important. you’ll find the app a little faster, a little leaner, a little closer to the goal."
Slack 25.05.20,14 May 2025,"hard work is happening this week, but nothing that we can easily describe. it’s like a duck swimming on a pond. under the water, the duck is paddling furiously, but on top, all that can be seen is the gentle gliding of a bird on water. this week, slack is the duck."
